Site,Replicate,Crucian,qPCR,copy_no,Vol_filtered,No_filters,Qubit,Latitude,Longitude,Duckweed,Sediment,Algal
SABA,1,N,N,0,1,1,1.29,52.911825,1.161146,Y,Y,N
SABA,2,N,N,0,1,1,43.80,52.91184,1.161029,Y,Y,N
SABA,3,N,N,0,1,1,32.40,52.911706,1.160788,Y,Y,N
SABA,4,N,N,0,1,1,25.40,52.911611,1.160838,Y,Y,N
SABA,5,N,N,0,1,1,69.40,52.911591,1.160988,Y,Y,N
WRONG,1,N,N,0,1,2,0.13,52.893342,1.144201,Y,Y,N
WRONG,2,N,N,0,1,2,0.00,52.893448,1.144449,Y,Y,N
WRONG,3,N,N,0,1,2,0.31,52.893426,1.144526,Y,Y,N
WRONG,4,N,N,0,1,2,0.00,52.893384,1.144579,Y,Y,N
WRONG,5,N,N,0,1,2,0.00,52.893221,1.144525,Y,Y,N
WADD10,1,N,N,0,1,1,48.00,52.843384,1.038238,N,N,N
WADD10,2,N,N,0,1,1,36.20,52.843379,1.037818,N,N,N
WADD10,3,N,N,0,1,1,0.00,52.843453,1.037548,N,N,N
WADD10,4,N,N,0,1,1,51.60,52.843419,1.037505,N,N,N
WADD10,5,N,N,0,1,1,82.60,52.843669,1.037607,N,N,N
WADD11,1,N,N,0,0.5,2,0.00,52.842208,1.040872,N,Y,N
WADD11,2,N,N,0,0.5,2,0.35,52.8423,1.040571,N,Y,N
WADD11,3,N,N,0,0.5,2,1.24,52.842434,1.040656,N,Y,N
WADD11,4,N,N,0,0.5,2,1.68,52.842473,1.040949,N,Y,N
WADD11,5,N,N,0,0.5,2,1.20,52.842269,1.041079,N,Y,N
WADD17,1,N,N,0,1,1,10.50,52.843998,1.045895,N,N,N
WADD17,2,N,N,0,1,2,13.00,52.843882,1.045737,N,Y,N
WADD17,3,N,N,0,1,1,6.98,52.844001,1.045479,N,N,N
WADD17,4,N,N,0,1,2,0.13,52.844351,1.045707,N,Y,N
WADD17,5,N,N,0,1,2,34.40,52.844195,1.045404,N,Y,N
WOOD,1,N,N,0,1,1,3.66,52.814456,1.109187,Y,N,N
WOOD,2,N,N,0,1,2,0.17,52.814461,1.108964,Y,N,N
WOOD,3,N,N,0,1,2,1.30,52.814655,1.108865,Y,N,N
WOOD,4,N,N,0,1,2,8.94,52.81478,1.108917,Y,N,N
WOOD,5,N,N,0,1,2,3.74,52.814658,1.109348,Y,N,N
PYES2,1,N,N,0,1,1,10.70,52.783975,1.162999,Y,N,N
PYES2,2,N,N,0,1,1,14.60,52.783967,1.162852,Y,N,N
PYES2,3,N,N,0,1,1,29.60,52.783873,1.162795,Y,N,N
