site,sample,pcr1,pcr2,pcr3,pcr4,pcr5
CAKE,1,0,1,0,0,0
CHIP,1,0,0,0,0,0
GUES1,1,1,1,1,1,1
MYST,1,1,1,1,1,1
OTOM,1,1,1,1,1,1
POFA4,1,0,1,1,0,1
POHI,1,0,0,0,1,0
RAIL,1,1,1,1,1,1
SKEY1,1,0,0,0,0,0
WADD3,1,1,1,1,1,1
CAKE,2,0,0,0,0,1
CHIP,2,0,0,0,0,0
GUES1,2,1,1,1,1,1
MYST,2,1,1,1,1,1
OTOM,2,1,1,1,1,1
POFA4,2,0,0,0,0,0
POHI,2,1,1,1,1,1
RAIL,2,0,0,0,0,0
SKEY1,2,0,0,0,0,0
WADD3,2,0,0,0,0,0
CAKE,3,0,0,0,0,0
CHIP,3,0,0,0,0,0
GUES1,3,0,0,0,0,0
MYST,3,1,1,1,1,1
OTOM,3,1,1,1,1,1
POFA4,3,1,1,1,1,1
POHI,3,0,0,0,1,0
RAIL,3,1,1,1,1,1
SKEY1,3,1,1,1,1,1
WADD3,3,1,1,1,1,1
CAKE,4,1,0,0,0,0
CHIP,4,0,0,0,0,0
GUES1,4,1,1,1,1,1
MYST,4,1,1,1,1,1
OTOM,4,1,1,1,1,1
POFA4,4,1,1,1,0,0
POHI,4,0,0,0,1,0
RAIL,4,1,1,1,1,1
SKEY1,4,1,1,1,1,1
WADD3,4,1,1,1,1,1
CAKE,5,0,0,0,1,0
CHIP,5,0,0,0,0,0
GUES1,5,1,1,1,1,1
MYST,5,1,1,1,1,1
OTOM,5,1,1,1,1,1
POFA4,5,1,1,1,1,1
POHI,5,0,0,0,0,0
RAIL,5,1,1,1,1,1
SKEY1,5,1,1,1,1,1
WADD3,5,1,1,1,1,1
